BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
30,71,0,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0
27,71,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0
79,49,2,47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0
114,47,2,45,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,8,8,0,0
38,54,0,30,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,0,0
32,56,1,18,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,1,1,3,0,0
54,21,8,37,1,1,1,0,4,0,1,0,12,0,0,1,0,0,0,4,6,6,0,0
77,4,25,16,0,0,0,0,3,0,4,0,86,0,1,0,0,0,0,28,13,12,0,0
34,2,32,2,0,1,0,0,0,1,0,0,57,0,7,0,0,0,0,54,34,11,0,0
5,1,8,9,0,1,0,0,5,4,0,0,71,0,4,1,0,0,0,35,29,12,0,0
2,0,32,5,0,0,0,0,6,0,0,0,279,0,6,0,0,0,0,31,26,8,0,0
1,1,4,13,0,1,0,0,4,2,0,0,177,0,0,0,0,0,0,28,16,6,0,0
14,1,19,24,1,0,0,0,7,1,0,0,127,0,3,0,0,0,0,31,42,8,0,0
8,3,21,13,0,0,0,0,5,1,0,0,98,0,6,0,0,0,0,30,37,13,0,0
5,4,11,12,1,0,0,0,8,2,0,1,156,0,22,1,0,0,0,50,57,23,0,0
7,2,2,17,0,2,0,0,9,1,0,0,155,0,4,1,0,0,0,47,45,22,0,0
40,18,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
30,34,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,0
48,52,0,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
83,42,1,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,1,0
56,75,3,12,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0
20,26,2,8,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
44,58,1,14,2,0,0,1,5,0,2,0,10,0,2,0,0,0,0,9,3,9,0,0
68,26,25,21,0,0,0,0,0,0,1,0,97,0,3,0,0,0,0,16,8,14,0,0
27,2,7,22,0,1,0,0,1,0,0,0,82,0,14,0,0,0,0,30,17,11,0,0
17,2,6,13,0,0,0,1,3,0,0,0,151,0,14,0,0,0,0,36,15,7,0,0
17,4,24,17,0,1,0,0,5,2,0,0,190,0,5,0,0,0,0,45,40,3,0,0
4,0,40,10,0,0,0,0,2,2,0,0,148,0,0,0,0,0,0,43,19,5,0,0
1,1,32,32,0,0,0,0,14,2,0,0,150,0,0,0,0,0,0,23,37,10,0,0
4,0,2,22,0,0,0,0,16,0,0,0,87,0,1,0,0,0,0,26,44,14,0,0
2,6,15,22,1,0,0,2,6,0,0,0,166,0,4,0,0,0,0,23,66,15,0,0
2,1,3,24,0,0,0,0,7,0,0,0,104,0,2,0,0,0,0,10,48,12,0,0
31,18,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
24,26,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
28,11,0,48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,10,0,0
26,61,0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0
